,Date,Open,High,Low,Close,Volume
0,15-04-2020,158.61,158.61,158.61,158.61,0.0
1,14-04-2020,156.97,162.15,155.74,158.61,18061.58
2,13-04-2020,158.56,159.51,150.12,156.97,15698.32
3,12-04-2020,158.66,165.37,155.21,158.56,12877.33
4,11-04-2020,158.26,161.49,154.25,158.66,13761.72
5,10-04-2020,171.16,171.16,152.46,158.26,35635.43
6,09-04-2020,173.48,173.48,165.33,171.16,17411.01
7,08-04-2020,164.7,174.81,163.78,173.48,20071.04
8,07-04-2020,171.49,176.74,162.34,164.7,46133.4
9,06-04-2020,143.04,172.13,142.87,171.49,59235.58
10,05-04-2020,144.73,145.8,141.0,143.04,7986.14
11,04-04-2020,141.46,146.5,138.82,144.73,19744.24
12,03-04-2020,141.56,146.87,137.85,141.46,25410.75
13,02-04-2020,136.0,150.32,135.55,141.56,34902.18
14,01-04-2020,133.42,137.33,128.93,136.0,18294.09
15,31-03-2020,132.36,135.4,130.77,133.42,15514.29
16,30-03-2020,124.5,135.56,124.09,132.36,29171.17
17,29-03-2020,131.27,132.0,123.87,124.5,9427.22
18,28-03-2020,131.79,133.45,124.7,131.27,19399.49
19,27-03-2020,136.98,142.38,130.0,131.79,16016.63
20,26-03-2020,136.35,138.91,133.53,136.98,22375.26
21,25-03-2020,139.14,142.88,132.87,136.35,40918.47
22,24-03-2020,136.64,144.14,133.17,139.14,62191.42
23,23-03-2020,122.63,138.38,119.17,136.64,63493.15
24,22-03-2020,132.46,137.35,120.82,122.63,36521.05
25,21-03-2020,133.39,137.67,125.79,132.46,47898.74
26,20-03-2020,136.99,153.17,115.0,133.39,90019.86
27,19-03-2020,118.68,143.5,115.9,136.99,53823.78
28,18-03-2020,116.69,118.96,110.31,118.68,30654.44
29,17-03-2020,111.51,121.78,109.7,116.69,33923.85
30,16-03-2020,123.46,123.7,100.7,111.51,147138.58
31,15-03-2020,122.37,133.9,119.49,123.46,44824.29
32,14-03-2020,135.4,138.99,120.73,122.37,26037.2
33,13-03-2020,109.28,144.22,86.62,135.4,179631.7
34,12-03-2020,194.46,195.48,101.2,109.28,206706.03
35,11-03-2020,200.79,203.01,181.67,194.46,30389.42
36,10-03-2020,202.72,206.28,195.72,200.79,32294.95
37,09-03-2020,199.66,208.5,189.97,202.72,50295.32
38,08-03-2020,237.55,237.93,196.1,199.66,25858.35
39,07-03-2020,245.83,252.16,235.67,237.55,8477.35
40,06-03-2020,228.21,245.85,228.21,245.83,11640.05
41,05-03-2020,224.67,234.4,224.59,228.21,27105.51
42,04-03-2020,223.77,228.72,220.38,224.67,26885.16
43,03-03-2020,232.15,232.82,219.93,223.77,37610.65
44,02-03-2020,217.85,234.93,215.78,232.15,28849.56
45,01-03-2020,217.35,227.77,212.16,217.85,17085.53
46,29-02-2020,227.43,233.36,217.26,217.35,7035.9
47,28-02-2020,227.14,234.38,213.0,227.43,18755.55
48,27-02-2020,224.0,238.27,209.77,227.14,30282.57
49,26-02-2020,246.31,249.77,215.5,224.0,34381.8
50,25-02-2020,265.9,266.26,244.7,246.31,24946.49
51,24-02-2020,275.92,278.0,256.64,265.9,25666.64
52,23-02-2020,262.51,276.63,262.14,275.92,6000.03
53,22-02-2020,265.4,266.86,256.8,262.51,5912.03
54,21-02-2020,257.8,268.57,257.41,265.4,9163.59
55,20-02-2020,259.07,264.59,245.47,257.8,23951.33
56,19-02-2020,283.66,287.41,251.07,259.07,29267.55
57,18-02-2020,267.67,286.54,259.39,283.66,24360.52
58,17-02-2020,259.03,268.99,242.58,267.67,18833.8
59,16-02-2020,264.94,273.96,236.56,259.03,43567.01
60,15-02-2020,286.48,289.58,261.72,264.94,24828.66
61,14-02-2020,268.76,287.68,260.36,286.48,12151.56
62,13-02-2020,267.07,278.34,256.42,268.76,43485.43
63,12-02-2020,237.9,275.82,237.9,267.07,48299.44
64,11-02-2020,223.7,239.73,218.13,237.9,32170.54
65,10-02-2020,228.98,229.69,217.09,223.7,20264.38
66,09-02-2020,223.76,230.99,223.7,228.98,15128.75
67,08-02-2020,223.03,228.0,213.49,223.76,22035.79
68,07-02-2020,213.19,224.29,213.19,223.03,8486.64
69,06-02-2020,203.93,216.2,201.09,213.19,17049.96
70,05-02-2020,188.2,207.99,187.6,203.93,15342.5
71,04-02-2020,189.86,191.49,183.97,188.2,8563.4
72,03-02-2020,188.36,196.0,186.56,189.86,15685.52
73,02-02-2020,183.54,193.32,178.82,188.36,15310.91
74,01-02-2020,179.75,184.05,179.15,183.54,4090.5
75,31-01-2020,184.46,185.54,175.33,179.75,25967.47
76,30-01-2020,173.55,186.88,170.54,184.46,13142.34
77,29-01-2020,176.15,178.49,173.37,173.55,14301.91
78,28-01-2020,169.99,176.58,169.96,176.15,11890.43
79,27-01-2020,167.5,171.86,164.81,169.99,10356.25
80,26-01-2020,160.12,167.5,159.14,167.5,5125.89
81,25-01-2020,162.53,162.6,157.43,160.12,3817.81
82,24-01-2020,162.62,165.0,155.11,162.53,7694.9
83,23-01-2020,167.78,167.78,158.72,162.62,19028.44
84,22-01-2020,169.21,170.99,165.63,167.78,8292.14
85,21-01-2020,166.94,169.78,164.4,169.21,5977.04
86,20-01-2020,166.95,169.31,161.16,166.94,21125.93
87,19-01-2020,174.03,177.71,162.0,166.95,18208.92
88,18-01-2020,170.23,179.65,165.1,174.03,10761.97
89,17-01-2020,164.04,174.32,162.38,170.23,19438.79
90,16-01-2020,166.1,167.23,158.48,164.04,17747.09
91,15-01-2020,165.83,172.0,159.43,166.1,22286.47
92,14-01-2020,143.78,170.62,143.78,165.83,43694.86
93,13-01-2020,146.57,146.95,142.43,143.78,5901.08
94,12-01-2020,142.59,146.57,141.95,146.57,4002.33
95,11-01-2020,144.75,148.19,142.21,142.59,10286.53
96,10-01-2020,137.76,145.32,135.36,144.75,13340.58
97,09-01-2020,141.12,141.25,135.33,137.76,10076.43
98,08-01-2020,143.13,148.18,137.33,141.12,16867.66
99,07-01-2020,144.12,145.28,139.02,143.13,12391.4
100,06-01-2020,135.39,148.97,134.95,144.12,34466.62
101,05-01-2020,134.14,138.16,134.1,135.39,7015.13
102,04-01-2020,133.94,136.0,132.58,134.14,7537.05
103,03-01-2020,126.83,134.62,125.6,133.94,22800.23
104,02-01-2020,130.25,130.25,126.19,126.83,11842.45
105,01-01-2020,128.84,132.57,128.07,130.25,10641.08
106,31-12-2019,131.0,133.37,127.77,128.84,16974.13
107,30-12-2019,134.21,135.77,130.0,131.0,8666.6
108,29-12-2019,127.83,137.53,126.96,134.21,7721.35
109,28-12-2019,126.13,129.5,125.86,127.83,3684.42
110,27-12-2019,125.32,126.59,122.2,126.13,5875.55
111,26-12-2019,124.98,132.0,124.18,125.32,5615.9
112,25-12-2019,127.66,127.66,123.4,124.98,3373.11
113,24-12-2019,128.14,129.49,126.66,127.66,3701.21
114,23-12-2019,132.35,135.19,126.23,128.14,12091.86
115,22-12-2019,126.96,133.37,126.9,132.35,4969.42
116,21-12-2019,128.48,128.48,126.68,126.96,2450.96
117,20-12-2019,128.07,129.4,125.02,128.48,14267.16
118,19-12-2019,132.96,134.04,125.81,128.07,8430.62
119,18-12-2019,121.88,134.94,116.21,132.96,15469.88
120,17-12-2019,132.51,132.62,120.0,121.88,17516.79
121,16-12-2019,142.33,142.46,129.2,132.51,16840.73
122,15-12-2019,141.74,144.08,140.0,142.33,2757.41
123,14-12-2019,144.7,145.0,141.18,141.74,2316.42
